meal_id,meal_name,cuisine,meal_type,diet_type,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,serving_size_g,cooking_method,prep_time_min,cook_time_min,rating,is_healthy,image_url,macro_kcal,kcal_diff_pct,implausible,cal_per_100g,score_cal,score_sodium,score_sugar,score_fiber,pct_p,pct_c,pct_f,score_macro,health_score
1,Kid Pasta,Indian,Lunch,Keto,737.0,52.4,43.9,34.3,16.8,42.9,2079.0,91.0,206.0,Grilled,47.0,56.0,4.4,0,https://example.com/images/meal_1.jpg,693.9,0.05848032564450478,False,357.7669902912621,0.10499999999999998,0.0,0.0,1.0,30.206081567949273,25.30624009223231,44.487678339818416,0.5969760292068983,34.03952058413797
3,Activity Rice,Indian,Snack,Paleo,881.0,52.9,97.3,18.8,20.0,37.5,2383.0,209.0,395.0,Boiled,58.0,29.0,4.3,0,https://example.com/images/meal_3.jpg,770.0,0.12599318955732122,False,223.0379746835443,0.0,0.0,0.0,1.0,27.480519480519476,50.54545454545455,21.974025974025977,1.0,40.0
4,Another Salad,Mexican,Snack,Keto,427.0,17.5,73.1,7.6,9.8,41.7,846.0,107.0,499.0,Grilled,14.0,81.0,4.6,0,https://example.com/images/meal_4.jpg,430.79999999999995,0.008899297423887481,False,85.57114228456913,0.6216666666666666,0.43600000000000005,0.0,0.4800000000000001,16.24883936861653,67.87372330547818,15.87743732590529,0.6542092231507274,43.83751779634788
9,Third Soup,American,Breakfast,Paleo,863.0,16.8,43.0,39.4,24.5,33.0,515.0,50.0,471.0,Grilled,33.0,56.0,4.0,0,https://example.com/images/meal_9.jpg,593.8,0.31193511008111247,False,183.2271762208068,0.0,0.6566666666666667,0.0,1.0,11.316941731222634,28.965981812057933,59.71707645671943,0.33804872572134276,39.89430784776019
10,Ask Pasta,Mexican,Dinner,Balanced,671.0,48.4,76.4,38.2,14.7,29.4,1110.0,214.0,117.0,Roasted,35.0,68.0,5.0,0,https://example.com/images/meal_10.jpg,843.0,0.2563338301043219,False,573.5042735042736,0.21499999999999997,0.26,0.0,0.97,22.965599051008304,36.25148279952551,40.78291814946619,0.8411427441676554,45.72285488335311
12,Ago Soup,Thai,Breakfast,Keto,594.0,32.6,32.0,46.9,10.9,11.7,825.0,76.0,112.0,Steamed,8.0,76.0,4.2,0,https://example.com/images/meal_12.jpg,680.5,0.14562289562289563,False,530.3571428571429,0.3433333333333334,0.44999999999999996,0.532,0.5900000000000001,19.162380602498164,18.80969875091844,62.02792064658339,0.31937301004163604,44.69412686749939
14,Indicate Curry,Italian,Lunch,Paleo,708.0,5.3,133.7,2.9,23.7,26.1,588.0,216.0,144.0,Grilled,45.0,9.0,2.3,0,https://example.com/images/meal_14.jpg,582.1,0.1778248587570621,False,491.6666666666667,0.15333333333333332,0.608,0.0,1.0,3.6419859130733547,91.87424841092596,4.4837656760006865,0.13542919315123403,37.935250529691345
16,Only Curry,Japanese,Dinner,Balanced,403.0,45.0,3.1,36.1,25.5,16.1,975.0,201.0,426.0,Baked,57.0,46.0,2.3,0,https://example.com/images/meal_16.jpg,517.3000000000001,0.28362282878411926,False,94.60093896713614,0.6616666666666666,0.35,0.356,1.0,34.79605644693601,2.397061666344481,62.8068818867195,0.3333333333333333,54.02
18,Similar Salad,Japanese,Lunch,Vegetarian,605.0,74.5,38.0,44.3,13.3,47.4,321.0,292.0,469.0,Raw,16.0,80.0,1.8,0,https://example.com/images/meal_18.jpg,848.7,0.40280991735537197,False,128.99786780383795,0.32499999999999996,0.786,0.0,0.8300000000000001,35.11252503829386,17.90974431483445,46.977730646871684,0.46516240524724095,48.12324810494483
20,Decision Soup,Thai,Snack,Paleo,402.0,36.9,85.6,11.1,8.1,44.5,142.0,145.0,380.0,Roasted,12.0,63.0,4.8,0,https://example.com/images/meal_20.jpg,589.9,0.467412935323383,False,105.78947368421052,0.6633333333333333,0.9053333333333333,0.0,0.30999999999999994,25.02119003220885,58.04373622647906,16.935073741312088,0.8981889585805504,55.53711250494434
21,Detail Curry,Italian,Breakfast,Vegan,1137.0,78.1,72.3,14.3,4.5,48.7,148.0,281.0,365.0,Raw,18.0,66.0,1.7,0,https://example.com/images/meal_21.jpg,730.3,0.35769569041336857,False,311.5068493150685,0.0,0.9013333333333333,0.0,0.0,42.77694098315761,39.60016431603451,17.62289470080789,0.8241019672280799,34.50870601122826
22,Despite Rice,Italian,Snack,Keto,578.0,33.5,135.3,7.4,10.6,18.7,1156.0,110.0,484.0,Fried,53.0,12.0,3.7,1,https://example.com/images/meal_22.jpg,741.8000000000001,0.28339100346020774,False,119.42148760330578,0.37,0.22933333333333328,0.252,0.5599999999999999,18.06416823941763,72.95767053114048,8.978161229441898,0.48474431562865083,37.92155297923968
24,Establish Wrap,Mexican,Dinner,Vegan,1197.0,43.7,79.0,26.9,10.4,21.6,1058.0,34.0,233.0,Boiled,59.0,17.0,3.0,0,https://example.com/images/meal_24.jpg,732.9,0.3877192982456141,False,513.7339055793991,0.0,0.29466666666666663,0.1359999999999999,0.54,23.850457088279438,43.116386955928505,33.03315595579206,1.0,39.413333333333334
25,Per Pasta,Italian,Dinner,Vegan,1153.0,75.0,8.7,43.9,25.9,46.8,1043.0,86.0,485.0,Boiled,34.0,58.0,2.9,0,https://example.com/images/meal_25.jpg,729.9,0.36695576756287945,False,237.7319587628866,0.0,0.30466666666666664,0.0,1.0,41.10152075626799,4.767776407727085,54.13070283600493,0.24612960679545137,31.015925469242354
